Ward,MedianHHincome,MeanHHincome
Ward 1,82159,106388
Ward 2,100388,140459
Ward 3,112873,176921
Ward 4,74600,111933
Ward 5,57554,77329
Ward 6,94343,117002
Ward 7,39165,53093
Ward 8,30910,44245
