nutrientName,value,unitName
Calcium,178.48,MG
Carbs,28.8964,G
Cholesterol,26.7,MG
Energy,577.8,KCAL
Fat,12.126,G
Fiber,1.784,G
Iron,1.9438,MG
Potassium,201.92105263157896,MG
Protein,11.4192,G
Sat_Fatty_Acids,5.1415,G
Sodium,618.7,MG
Sugar,3.3254,G
Trans_Fatty_Acids,0.18706451612903224,G
Unsat_Fatty_Acids,2.293108108108108,G
VitaminA,403.35714285714283,IU
VitaminC,3.0653061224489795,MG
VitaminD,0.08333333333333333,IU
